"instrument","strsiz","avgdep","nexref","ninref","year","nmajprov","ndelms","ndelsupra","type","kofecgidjsdv","naseanms","polityivsdv","avzcomplex","media"
31.200001,11,1.75,11,0,1997,5,0,0,"2",13.934731,"9",7.5984035,0.56375009,"0"
34,34,2,4,3,2008,26,5,0,"3",15.091938,"10",6.4813938,0.60161293,"0"
35,40,1.9299999,7,2,2007,29,3,0,"3",15.11982,"10",6.8723478,0.64106929,"0"
36,29,2.0899999,9,1,2007,21,1,0,"2",15.11982,"10",6.8723478,0.68200749,"0"
36.099998,19,2.4000001,12,3,2010,14,1,0,"2",14.006478,"10",6.6841435,0.80848753,"0"
37,21,1.53,1,0,2006,17,0,1,"1",14.953968,"10",7.1497107,0.29263544,"0"
37.099998,11,1.88,7,0,2007,8,0,0,"2",15.11982,"10",6.8723478,0.52305877,"0"
41,147,2.1400001,3,28,2005,129,3,0,"1",14.689552,"10",6.9283795,1.0897354,"0"
42,6,NA,NA,NA,2005,24,2,0,"3",14.689552,"10",6.9283795,NA,"2"
43.099998,19,2.0699999,6,2,2004,13,3,0,"2",13.484301,"10",6.7692113,0.60825789,"0"
43.119999,0,NA,NA,NA,NA,13,3,1,"2",NA,"10",NA,NA,"2"
43.200001,19,2.0699999,6,2,2004,13,3,1,"2",13.484301,"10",6.7692113,0.60825789,"0"
43.299999,19,2.0699999,6,2,2004,13,3,1,"2",13.484301,"10",6.7692113,0.60825789,"0"
43.400002,19,2.0699999,6,2,2004,13,3,1,"3",13.484301,"10",6.7692113,0.60825789,"0"
43.799999,19,2.0699999,6,2,2004,13,3,1,"2",13.484301,"10",6.7692113,0.60825789,"0"
47,36,1.85,6,1,2002,26,4,0,"3",14.725194,"10",6.7692113,0.57618493,"1"
47.099998,5,1,3,0,2013,1,0,0,"2",13.504162,"10",6.7338285,0.049179025,"0"
48,11,NA,NA,NA,2001,23,1,0,"3",14.902901,"10",6.7692113,NA,"2"
50,19,1.6900001,4,4,2000,13,1,0,"1",14.213816,"10",6.770647,0.47650525,"0"
52.099998,114,2.28,12,13,2002,98,8,0,"3",14.725194,"10",6.7692113,1.0520887,"1"
52.130001,73,2.1300001,8,3,2017,60,6,0,"3",14.007591,"10",6.6538019,0.79803616,"0"
52.139999,94,2.1900001,12,22,2018,79,5,1,"3",13.846571,"10",6.9520178,1.0725968,"0"
52.150002,85,2.26,11,11,2021,71,7,1,"3",13.821552,"10",7.1956778,0.96829408,"0"
52.299999,59,2.8299999,8,1,2006,48,1,0,"3",14.953968,"10",7.1497107,0.90881604,"1"
52.599998,60,2.3299999,8,4,2009,51,4,0,"3",14.571048,"10",6.557054,0.8275708,"1"
52.799999,47,2.26,9,0,2009,51,4,0,"3",14.571048,"10",6.557054,0.75722259,"1"
52.900002,108,2.22,12,21,2009,91,6,1,"3",14.571048,"10",6.557054,1.0931537,"1"
53,89,1.9,20,1,1998,80,1,0,"1",14.083516,"9",7.2340031,0.93543929,"2"
53.099998,23,1.84,9,2,1999,19,0,0,"2",13.873234,"10",6.8451281,0.60892916,"0"
53.200001,43,2.51,7,0,1999,35,0,0,"2",13.873234,"10",6.8451281,0.77775782,"0"
53.299999,31,2.28,8,0,2000,16,1,0,"2",14.213816,"10",6.770647,0.70863247,"0"
53.400002,62,2.0899999,9,5,2001,47,1,0,"2",14.902901,"10",6.7692113,0.80065596,"0"
53.5,31,1.96,12,2,2002,27,0,0,"2",14.725194,"10",6.7692113,0.71555251,"0"
53.599998,22,1.9400001,9,0,2007,17,1,0,"2",15.11982,"10",6.8723478,0.61068362,"0"
53.700001,46,2.21,6,0,2011,39,0,0,"2",13.936762,"10",6.6841435,0.69136417,"1"
53.799999,55,2.04,4,5,2015,47,2,1,"2",13.615495,"10",6.573245,0.6894325,"0"
53.900002,19,2,1,4,2018,14,2,0,"2",13.846571,"10",6.9520178,0.51344866,"0"
55,31,1.74,0,3,1998,18,2,0,"1",14.083516,"9",7.2340031,0.42714757,"0"
56,49,2.24,4,5,1998,39,2,1,"1",14.083516,"9",7.2340031,0.72765863,"0"
56.099998,11,1.33,9,0,2013,6,0,0,"2",13.504162,"10",6.7338285,0.38113442,"0"
57,24,1.89,1,2,1997,19,2,0,"3",13.934731,"9",7.5984035,0.46455371,"0"
60.099998,11,1.75,11,0,1997,5,0,0,"2",13.934731,"9",7.5984035,0.56375009,"0"
67,9,1,1,0,1986,5,0,0,"1",14.598877,"6",5.2025633,2.03e-08,"0"
67.099998,11,1.75,11,0,1997,5,0,0,"2",13.934731,"9",7.5984035,0.56375009,"0"
68,46,2.4100001,2,0,1986,29,0,0,"1",14.598877,"6",5.2025633,0.67480183,"0"
68.099998,23,1.9,12,0,1995,10,0,0,"2",12.78558,"7",7.8336878,0.65735,"1"
68.199997,12,1.75,6,0,1997,8,0,0,"2",13.934731,"9",7.5984035,0.46243691,"0"
69,16,1,13,0,1985,12,3,0,"1",15.191296,"6",5.0609565,0.37263924,"0"
69.099998,11,1.75,11,0,1997,5,0,0,"2",13.934731,"9",7.5984035,0.56375009,"0"
70,212,2.6600001,1,5,1985,147,5,0,"1",15.191296,"6",5.0609565,1.0897207,"0"
73,42,2,1,6,1979,36,0,0,"1",14.668732,"5",5.3300929,0.60261381,"0"
73.099998,7,1.67,4,0,1982,2,0,0,"2",15.35704,"5",5.4984193,0.37269336,"0"
73.199997,16,1.8200001,7,0,1997,11,0,0,"2",13.934731,"9",7.5984035,0.51836479,"0"
75,22,1.71,4,3,1975,16,2,0,"1",12.703358,"5",5.4432654,0.47804007,"0"
76,20,1.71,1,2,1972,16,2,0,"1",9.9193764,"5",4.6074581,0.38947847,"0"
77,59,2.3299999,3,2,2020,41,2,0,"1",13.83362,"10",7.1956778,0.72445691,"0"
78,94,2.1500001,10,3,2011,82,1,3,"1",13.936762,"10",6.6841435,0.87650299,"0"
79,55,2.04,1,0,2005,43,2,0,"1",14.689552,"10",6.9283795,0.57384449,"1"
81,135,2.1099999,5,4,2002,117,7,0,"1",14.725194,"10",6.7692113,0.88660592,"2"
82,32,1.71,0,0,1995,24,1,0,"3",12.78558,"7",7.8336878,0.3742449,"1"
82.099998,34,1.79,1,0,1995,13,3,0,"1",12.78558,"7",7.8336878,0.43239182,"1"
83,12,1.5,2,3,1978,8,1,0,"1",13.767102,"5",5.0791316,0.32449579,"0"
84,18,1.5700001,1,1,1969,8,1,0,"1",10.057798,"5",6.349021,0.31439579,"0"
