"instrument","strsiz","avgdep","nexref","ninref","year","nmajprov","ndelms","ndelsupra","type","kofecgidjsdv","naseanms","polityivsdv","avzcomplex","media"
62.099998,18,2.4300001,13,2,1995,11,2,0,"2",12.78558,"7",7.8336878,0.81885147,"1"
62.200001,29,1.79,4,3,2000,24,1,0,"2",14.213816,"10",6.770647,0.52424407,"1"
62.299999,11,2,5,2,2003,5,0,0,"2",13.520093,"10",6.7692113,0.54618168,"0"
63,45,2.03,7,0,1992,31,3,0,"1",14.806068,"6",6.6645646,0.65782988,"0"
63.099998,8,1.5,5,0,1995,4,0,0,"2",12.78558,"7",7.8336878,0.33700457,"1"
64,39,2,4,2,1988,31,2,1,"3",15.281887,"6",5.9813442,0.60240346,"0"
64.099998,5,1,4,0,1995,2,0,0,"2",12.78558,"7",7.8336878,0.081794374,"0"
65,40,2.22,0,1,1988,35,1,0,"1",15.281887,"6",5.9813442,0.58029407,"0"
66,31,1.84,13,3,1987,25,5,0,"3",14.759668,"6",5.2359858,0.71238363,"0"
71,35,2.0699999,3,4,1981,27,2,0,"1",15.392958,"5",5.6302752,0.61784631,"0"
72,69,2.0899999,8,5,1980,57,5,1,"1",15.438917,"5",5.6302752,0.80013758,"0"
72.099998,25,1.95,2,2,1980,17,1,0,"1",15.438917,"5",5.6302752,0.50855654,"0"
72.199997,24,2.05,3,2,1991,15,1,0,"1",14.716192,"6",6.7946057,0.55741626,"0"
74,39,1.71,5,13,1977,34,7,0,"1",13.932629,"5",5.4924865,0.67068255,"0"
74.099998,21,2.0599999,1,7,1987,18,1,0,"2",14.759668,"6",5.2359858,0.57685786,"0"
74.199997,7,1,4,0,1995,3,0,0,"2",12.78558,"7",7.8336878,0.090619788,"1"
80,164,2.21,18,4,2005,138,9,0,"1",14.689552,"10",6.9283795,1.122438,"1"
